number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_kernel,params_mask_number,params_rsi_window,params_so_smooth,params_so_window,params_srsi_smooth1,params_srsi_smooth2,params_srsi_window,params_tsi_window_fast,params_tsi_window_slow,params_ult_weight_1,params_ult_weight_2,params_ult_weight_3,params_ult_window_1,params_ult_window_2,params_ult_window_3,params_williams_lbp,state
70,0.5868360544555274,2024-04-11 16:02:58.926670,2024-04-11 16:02:59.161881,0 days 00:00:00.235211,83.6600988737735,1.028016354897624,sigmoid,0,,,,,,,,,,,,,,,,COMPLETE
71,0.5880365043344815,2024-04-11 16:02:59.161881,2024-04-11 16:02:59.405486,0 days 00:00:00.243605,84.98349014162419,0.9818046150978497,sigmoid,0,,,,,,,,,,,,,,,,COMPLETE
72,0.3766733964901382,2024-04-11 16:02:59.406487,2024-04-11 16:02:59.750342,0 days 00:00:00.343855,84.08787436072173,1.7123703114120499,sigmoid,19,,,,6.0,2.0,9.0,,,1.581000512072317,1.3713891364900466,3.45705401435594,4.0,47.0,94.0,154.0,COMPLETE
73,0.13026268441885572,2024-04-11 16:02:59.751342,2024-04-11 16:02:59.943209,0 days 00:00:00.191867,79.1412722267294,0.2440061458124102,sigmoid,0,,,,,,,,,,,,,,,,COMPLETE
74,0.4520663317166671,2024-04-11 16:02:59.944209,2024-04-11 16:03:00.384811,0 days 00:00:00.440602,90.43200445823108,0.9309308360656892,sigmoid,58,27.0,41.0,46.0,6.0,4.0,90.0,,,9.095504350260015,0.7370882009909296,0.7177006228731662,18.0,42.0,88.0,,COMPLETE
75,0.4095022624434389,2024-04-11 16:03:00.385812,2024-04-11 16:03:00.785442,0 days 00:00:00.399630,98.09168263884956,0.5224215922383451,sigmoid,50,34.0,,,7.0,1.0,81.0,,,9.044447104868787,1.7910789817891732,1.219848567947258,3.0,38.0,95.0,,COMPLETE
76,0.26569380882479926,2024-04-11 16:03:00.786493,2024-04-11 16:03:01.095581,0 days 00:00:00.309088,87.03890248869408,2.157379072753988,sigmoid,6,,,,,,,2.0,14.0,1.5582574190724343,3.2685842543283954,3.4286275919643456,7.0,37.0,87.0,,COMPLETE
77,0.3861104527139132,2024-04-11 16:03:01.096579,2024-04-11 16:03:01.415322,0 days 00:00:00.318743,83.6609983765905,1.48410984516243,sigmoid,49,23.0,,,1.0,3.0,98.0,,,,,,,,,81.0,COMPLETE
78,0.4936321300846477,2024-04-11 16:03:01.416321,2024-04-11 16:03:01.762582,0 days 00:00:00.346261,76.09220971223736,0.05913678224893515,sigmoid,47,41.0,15.0,34.0,,,,10.0,6.0,8.396789075110274,2.3427143834822535,1.4266510062100966,16.0,41.0,54.0,30.0,COMPLETE
79,0.45353734605747187,2024-04-11 16:03:01.762582,2024-04-11 16:03:02.576930,0 days 00:00:00.814348,88.78160424966725,0.9480267850510177,rbf,1,,,,,,,,,,,,,,,164.0,COMPLETE
